,term,weight,occurrences,documents_in,sentences_in
0,000,0.0009834562349853263,5,"doc5.txt, doc1.txt, doc3.txt, doc2.txt","Sectarian violence has reached an all-time high, and 365,000 Iraqis have fled their homes since the bombing of a Shia mosque in Samarra last February. 
        
        300,000 Iraqi security forces have supposedly been recruited and trained over the last two years, and yet American troop levels have not been reduced by a single soldier. 
        
        The addition of 4,000 American troops in Baghdad has not succeeded in securing that increasingly perilous city. 
        
        But a group of churches had offered me a job as a community organizer for $13,000 a year."
1,000 american,0.0002657447923466808,1,doc5.txt,"The addition of 4,000 American troops in Baghdad has not succeeded in securing that increasingly perilous city."
2,000 iraqi,0.0002166944818657488,1,doc5.txt,"Sectarian violence has reached an all-time high, and 365,000 Iraqis have fled their homes since the bombing of a Shia mosque in Samarra last February. 
        
        300,000 Iraqi security forces have supposedly been recruited and trained over the last two years, and yet American troop levels have not been reduced by a single soldier."
3,000 iraqis,0.00020934428730497493,1,doc5.txt,"Sectarian violence has reached an all-time high, and 365,000 Iraqis have fled their homes since the bombing of a Shia mosque in Samarra last February."
4,000 like,0.00019148279279539631,1,doc2.txt,"We measure progress in the 23 million new jobs that were created when Bill Clinton was President - when the average American family saw its income go up $7,500 instead of down $2,000 like it has under George Bush."
5,000 year,0.0002787157902443054,1,,
6,105,0.0004622705914198118,2,doc3.txt,"And all of this would have been unremarkable except for the fact that this woman, Marguerite Lewis, was born in 1899 and was 105 years old. 
        
        And I've wondered - if she is lucky enough to live as long as 105-year-old Marguerite Lewis, if she someday has the chance to look back across the twenty-first century, what will she see?"
7,105 year,0.0002257967015086417,1,doc3.txt,"And all of this would have been unremarkable except for the fact that this woman, Marguerite Lewis, was born in 1899 and was 105 years old."
8,105 years,0.0002642619951751127,1,doc3.txt,"And all of this would have been unremarkable except for the fact that this woman, Marguerite Lewis, was born in 1899 and was 105 years old."
9,11,0.0011023420191472405,6,"doc5.txt, doc3.txt, doc2.txt","And this has been true for those of us who looked on the rubble and ashes of 9/11, and made a solemn pledge that such an atrocity would never again happen on United States soil; that we would do whatever it took to hunt down those responsible, and use every tool at our disposal ? 
        
        9/11 showed us that try as we might to ignore the rest of the world, our enemies will no longer ignore us. 
        
        We've seen our children leave for Iraq and terrorists threaten to finish the job they started on 9/11. 
        
        Four years after 9/11, I've had enough of being told that we can find the money to give Paris Hilton more tax cuts, but we can't find enough to protect our ports or our railroads or our chemical plants or our borders."
10,11 clear,0.00018363810082490812,1,,
11,11 showed,0.00026313333043627175,1,doc5.txt,"9/11 showed us that try as we might to ignore the rest of the world, our enemies will no longer ignore us."
12,11 solemn,0.00019192716442908438,1,,
13,11 stood,0.0002139203624846703,1,,
14,11 ve,0.00021431000264606035,1,,
15,13,0.0002787157902443054,1,doc1.txt,"But a group of churches had offered me a job as a community organizer for $13,000 a year."
16,13 000,0.0002787157902443054,1,,
17,150,0.00016066903926056678,1,doc2.txt,"And I'll invest 150 billion dollars over the next decade in affordable, renewable sources of energy - wind power and solar power and the next generation of biofuels; an investment that will lead to new industries and five million new jobs that pay well and can't ever be outsourced."
18,150 billion,0.00016066903926056678,1,doc2.txt,"And I'll invest 150 billion dollars over the next decade in affordable, renewable sources of energy - wind power and solar power and the next generation of biofuels; an investment that will lead to new industries and five million new jobs that pay well and can't ever be outsourced."
19,1899,0.0002642619951751127,1,doc3.txt,"And all of this would have been unremarkable except for the fact that this woman, Marguerite Lewis, was born in 1899 and was 105 years old."
20,1899 105,0.0002642619951751127,1,,
21,1960,0.00025039683346686264,1,doc4.txt,"In early 1960's, as Kenya was gaining its independence, its gross national product was not very different from that of South Korea."
22,1960 kenya,0.00025039683346686264,1,,
23,1963,0.0004577623942130073,2,doc6.txt,"But, when I think about what is at stake I am reminded by a quote from the late President Kennedy given in a speech at American University in 1963 about threats posed by the Soviet Union. 
        
        Much of what President Kennedy described in 1963 remains true to this day - and we owe it to ourselves and our children to get it right."
24,1963 remains,0.00026984649091825696,1,doc6.txt,Much of what President Kennedy described in 1963 remains true to this day - and we owe it to ourselves and our children to get it right.
25,1963 threats,0.00021543301087712172,1,,
26,1980,0.0002268051077390523,1,doc6.txt,"At its height in the late 1980's, this program stockpiled of some of the most dangerous agents known to man - plague, smallpox, and anthrax - to name just a few."
27,1980 program,0.0002268051077390523,1,,
28,1987,0.0004709317451432667,1,doc4.txt,The first time I came to Kenya was in 1987.
29,1991,0.00020994144669016297,1,doc6.txt,"With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?"
30,1991 1996,0.00020994144669016297,1,,
31,1996,0.00020994144669016297,1,doc6.txt,"With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?"
32,1996 2001,0.00020994144669016297,1,,
33,20,0.00024130806836935063,1,"doc6.txt, doc5.txt, doc4.txt, doc1.txt, doc3.txt","With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come? 
        
        We also need to ensure that the Cooperative Threat Reduction umbrella agreement, due to expire in 2006, is renewed in a timely manner. 
        
        This kind of realism has been missing since the very conception of this war, and it is what led me to publicly oppose it in 2002. 
        
        Senators, Republican and Democrat, including myself, had also voted in favor of a resolution demanding that 2006 be a year of significant transition in Iraq."
34,20 billion,0.00024130806836935063,1,doc5.txt,"So far, Congress has given the Administration unprecedented flexibility in determining how to spend more than $20 billion dollars in Iraq."
35,200,0.00022850701102829232,1,"doc6.txt, doc5.txt, doc4.txt, doc1.txt, doc3.txt","With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come? 
        
        We also need to ensure that the Cooperative Threat Reduction umbrella agreement, due to expire in 2006, is renewed in a timely manner. 
        
        This kind of realism has been missing since the very conception of this war, and it is what led me to publicly oppose it in 2002. 
        
        Senators, Republican and Democrat, including myself, had also voted in favor of a resolution demanding that 2006 be a year of significant transition in Iraq."
36,200 years,0.00022850701102829232,1,doc4.txt,"This means that the education and health care systems - issues that my own nation more than 200 years old still struggles with - lag behind, impacting its development."
37,2000,0.00029590347887671983,1,doc3.txt,"You know, we all remember that George Bush said in 2000 campaign that he was against nation-building."
38,2000 campaign,0.00029590347887671983,1,doc3.txt,"You know, we all remember that George Bush said in 2000 campaign that he was against nation-building."
39,2001,0.00020994144669016297,1,doc6.txt,"With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?"
40,2001 effectively,0.00020994144669016297,1,,
41,2002,0.0005151400307935671,2,"doc5.txt, doc4.txt","This kind of realism has been missing since the very conception of this war, and it is what led me to publicly oppose it in 2002. 
        
        Among other things, this recognition resulted in the coalition that came to power in the December elections of 2002."
42,2006,0.0006565542957024504,3,"doc6.txt, doc5.txt","We also need to ensure that the Cooperative Threat Reduction umbrella agreement, due to expire in 2006, is renewed in a timely manner. 
        
        Senators, Republican and Democrat, including myself, had also voted in favor of a resolution demanding that 2006 be a year of significant transition in Iraq. 
        
        When I first advocated steps along these lines over a year ago, I had hoped that this phased redeployment could begin by the end of 2006."
43,2006 renewed,0.00024164605408092868,1,,
44,2006 year,0.00022466206790675074,1,,
45,2007,0.00037045991448256195,1,doc5.txt,"Such a timetable may now need to begin in 2007, but begin it must."
46,2007 begin,0.00037045991448256195,1,,
47,2008,0.00032904963168785175,1,doc1.txt,That's why I have a plan that will bring our combat troops home by March of 2008.
48,21st,0.0008519802041574687,4,"doc4.txt, doc3.txt, doc2.txt","And you will determine the direction of this country in the 21st century - whether the hard work of the many is lost to the selfish desires of a few, or whether you build an open, honest, stronger Kenya where everyone rises together. 
        
        And then someday, someday, if our kids get the chance to stand where we are and look back at the beginning of the 21st century, they can say that this was the time when America renewed its purpose. 
        
        This moment - this election - is our chance to keep, in the 21st century, the American promise alive. 
        
        I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease."
49,21st century,0.0008519802041574687,4,"doc4.txt, doc3.txt, doc2.txt","And you will determine the direction of this country in the 21st century - whether the hard work of the many is lost to the selfish desires of a few, or whether you build an open, honest, stronger Kenya where everyone rises together. 
        
        And then someday, someday, if our kids get the chance to stand where we are and look back at the beginning of the 21st century, they can say that this was the time when America renewed its purpose. 
        
        This moment - this election - is our chance to keep, in the 21st century, the American promise alive. 
        
        I will build new partnerships to defeat the threats of the 21st century: terrorism and nuclear proliferation; poverty and genocide; climate change and disease."
50,23,0.00019148279279539631,1,doc2.txt,"We measure progress in the 23 million new jobs that were created when Bill Clinton was President - when the average American family saw its income go up $7,500 instead of down $2,000 like it has under George Bush."
51,23 million,0.00019148279279539631,1,doc2.txt,"We measure progress in the 23 million new jobs that were created when Bill Clinton was President - when the average American family saw its income go up $7,500 instead of down $2,000 like it has under George Bush."
52,300,0.0002166944818657488,1,doc5.txt,"300,000 Iraqi security forces have supposedly been recruited and trained over the last two years, and yet American troop levels have not been reduced by a single soldier."
53,300 000,0.0002166944818657488,1,,
54,365,0.00020934428730497493,1,doc5.txt,"Sectarian violence has reached an all-time high, and 365,000 Iraqis have fled their homes since the bombing of a Shia mosque in Samarra last February."
55,365 000,0.00020934428730497493,1,,
56,42,0.00020173630742541482,1,doc5.txt,"According to a Pew survey, 42% of Americans now agree with the statement that the U.S. should ""mind its own business internationally and let other countries get along the best they can on their own.”
We cannot afford to be a country of isolationists right now."
57,42 americans,0.00020173630742541482,1,,
58,45,0.00021185684051784875,1,doc3.txt,I've had enough of the closed-door deals that give billions to the HMOs when we're told that we can't do a thing for the 45 million uninsured or the millions more who can't pay their medical bills.
59,45 million,0.00021185684051784875,1,doc3.txt,I've had enough of the closed-door deals that give billions to the HMOs when we're told that we can't do a thing for the 45 million uninsured or the millions more who can't pay their medical bills.
60,47s,0.00017434730351914324,1,doc2.txt,"The reality of gun ownership may be different for hunters in rural Ohio than for those plagued by gang-violence in Cleveland, but don't tell me we can't uphold the Second Amendment while keeping AK-47s out of the hands of criminals."
61,47s hands,0.00017434730351914324,1,,
62,4th,0.0004339120812072047,1,doc2.txt,"On November 4th, we must stand up and say: ""Eight is enough."""
63,4th stand,0.0004339120812072047,1,,
64,500,0.00046294602849965825,3,"doc3.txt, doc2.txt","That if you say the words ""plan for victory"" and point to the number of schools painted and roads paved and cell phones used in Iraq, no one will notice the nearly 2,500 flag-draped coffins that have arrived at Dover Air Force base. 
        
        We measure progress in the 23 million new jobs that were created when Bill Clinton was President - when the average American family saw its income go up $7,500 instead of down $2,000 like it has under George Bush. 
        
        We measure the strength of our economy not by the number of billionaires we have or the profits of the Fortune 500, but by whether someone with a good idea can take a risk and start a new business, or whether the waitress who lives on tips can take a day off to look after a sick kid without losing her job - an economy that honors the dignity of work."
65,500 flag,0.00016269258251993215,1,doc3.txt,"That if you say the words ""plan for victory"" and point to the number of schools painted and roads paved and cell phones used in Iraq, no one will notice the nearly 2,500 flag-draped coffins that have arrived at Dover Air Force base."
66,500 good,0.00015846355932028927,1,,
67,500 instead,0.00019148279279539631,1,doc2.txt,"We measure progress in the 23 million new jobs that were created when Bill Clinton was President - when the average American family saw its income go up $7,500 instead of down $2,000 like it has under George Bush."
68,56,0.0002421371648506555,1,doc4.txt,"I know that while recent reports have pointed to strong economic growth in this country, 56% of Kenyans still live in poverty."
69,56 kenyans,0.0002421371648506555,1,,
70,79,0.00016686415951817397,1,doc2.txt,"And today, as my call for a time frame to remove our troops from Iraq has been echoed by the Iraqi government and even the Bush Administration, even after we learned that Iraq has a $79 billion surplus while we're wallowing in deficits, John McCain stands alone in his stubborn refusal to end a misguided war."
71,79 billion,0.00016686415951817397,1,doc2.txt,"And today, as my call for a time frame to remove our troops from Iraq has been echoed by the Iraqi government and even the Bush Administration, even after we learned that Iraq has a $79 billion surplus while we're wallowing in deficits, John McCain stands alone in his stubborn refusal to end a misguided war."
72,867,0.0004497540503995254,1,doc5.txt,"2,867 Americans have now died in this war."
73,867 americans,0.0004497540503995254,1,doc5.txt,"2,867 Americans have now died in this war."
74,95,0.00026825126325692917,1,doc2.txt,I will cut taxes - cut taxes - for 95% of all working families.
75,95 working,0.00026825126325692917,1,,
76,abandoning,0.00024162658648548113,1,doc5.txt,"This doesn’t mean abandoning our values and ideals; wherever we can, it’s in our interest to help foster democracy through the diplomatic and economic resources at our disposal."
77,abandoning values,0.00024162658648548113,1,,
78,abandonment,0.00020941565593446951,1,doc2.txt,"They claim that our insistence on something larger, something firmer and more honest in our public life is just a Trojan Horse for higher taxes and the abandonment of traditional values."
79,abandonment traditional,0.00020941565593446951,1,,
80,ability,0.0008893307565590456,4,"doc6.txt, doc5.txt, doc4.txt, doc1.txt, doc2.txt","I also saw their ability to ensure that shortcomings were addressed and programs were implemented correctly. 
        
        to pressure the Iraqi leadership to finally come to a political agreement between the warring factions that can create some sense of stability in the country and bring this conflict under control. 
        
        But we need to also move towards more condition-based aid packages where economic assistance is contingent upon the ability of Iraqis to make measurable progress on reducing sectarian violence and forging a lasting political settlement. 
        
        Like many nations across this continent, where Kenya is failing is in its ability to create a government that is transparent and accountable."
81,ability create,0.0002826903759155604,1,,
82,ability ensure,0.0002915753973642251,1,,
83,ability iraqis,0.000184070138810739,1,,
84,ability people,0.00026170462046711554,1,,
85,able,0.00170685133562648,8,"doc6.txt, doc5.txt, doc4.txt, doc1.txt, doc3.txt, doc2.txt","And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program. 
        
        That policy-by-slogan will no longer pass as an acceptable form of debate in this country. 
        
        We have been told that progress is just around the corner, and that when the Iraqis stand up, we will be able to stand down. 
        
        And I believe that it remains possible to salvage an acceptable outcome to this long and misguided war."
86,able achieve,0.00018988374214727862,1,,
87,able force,0.00021524278421922183,1,,
88,able health,0.0004143231126701827,1,,
89,able job,0.00018204881843506416,1,,
90,able kind,0.0003247320489182566,1,,
91,able reform,0.0003812599629983324,1,,
92,able send,0.000152886105259444,1,,
93,able stand,0.00030113250969858224,1,,
94,abortion,0.00026138618051642663,1,doc2.txt,"We may not agree on abortion, but surely we can agree on reducing the number of unwanted pregnancies in this country."
95,abortion surely,0.00026138618051642663,1,,
96,abraham,0.0004972698033970412,1,doc1.txt,That's what Abraham Lincoln understood.
97,abraham lincoln,0.0004972698033970412,1,doc1.txt,That's what Abraham Lincoln understood.
98,abroad,0.0003373575348302537,1,doc2.txt,"And just as we keep our keep our promise to the next generation here at home, so must we keep America's promise abroad."
99,absence,0.0004391108753393362,2,"doc5.txt, doc1.txt","In the absence of a genuine commitment on the part of all of the factions in Iraq to deal with this issue, it is doubtful that a unified Iraqi government can function for long, and it is doubtful that U.S. forces, no matter how large, can prevent an escalation of widespread sectarian killing. 
        
        What's stopped us from meeting these challenges is not the absence of sound policies and sensible plans."
100,absence genuine,0.0001777086746277858,1,,
101,absence sound,0.00028779812433929876,1,,
102,absolutely,0.00022660060299635446,1,doc5.txt,What is absolutely clear is that it is not enough for the President to respond to Iraq’s reality by saying that he is “open to” or “interested in” new ideas while acting as if all that’s required is doing more of the same.
